PassengerId,Survived,Pclass,Age,Sex,SibSp,Parch,Fare,Cabin,Embarked
150,0,2,42,male,0,0,13,N,S
151,0,2,51,male,0,0,12.525,N,S
152,1,1,22,female,1,0,66.6,C,S
153,0,3,55.5,male,0,0,8.05,N,S
154,0,3,40.5,male,0,2,14.5,N,S
155,0,3,24,male,0,0,7.3125,N,S
156,0,1,51,male,0,1,61.3792,N,C
157,1,3,16,female,0,0,7.7333,N,Q
158,0,3,30,male,0,0,8.05,N,S
159,0,3,24,male,0,0,8.6625,N,S
160,0,3,24,male,8,2,69.55,N,S
161,0,3,44,male,0,1,16.1,N,S
162,1,2,40,female,0,0,15.75,N,S
163,0,3,26,male,0,0,7.775,N,S
164,0,3,17,male,0,0,8.6625,N,S
165,0,3,1,male,4,1,39.6875,N,S
166,1,3,9,male,0,2,20.525,N,S
167,1,1,24,female,0,1,55,E,S
168,0,3,45,female,1,4,27.9,N,S
169,0,1,24,male,0,0,25.925,N,S
170,0,3,28,male,0,0,56.4958,N,S
171,0,1,61,male,0,0,33.5,B,S
172,0,3,4,male,4,1,29.125,N,Q
173,1,3,1,female,1,1,11.1333,N,S
174,0,3,21,male,0,0,7.925,N,S
175,0,1,56,male,0,0,30.6958,A,C
176,0,3,18,male,1,1,7.8542,N,S
177,0,3,24,male,3,1,25.4667,N,S
178,0,1,50,female,0,0,28.7125,C,C
179,0,2,30,male,0,0,13,N,S
180,0,3,36,male,0,0,0,N,S
181,0,3,24,female,8,2,69.55,N,S
182,0,2,24,male,0,0,15.05,N,C
183,0,3,9,male,4,2,31.3875,N,S
184,1,2,1,male,2,1,39,F,S
185,1,3,4,female,0,2,22.025,N,S
186,0,1,24,male,0,0,50,A,S
187,1,3,24,female,1,0,15.5,N,Q
188,1,1,45,male,0,0,26.55,N,S
189,0,3,40,male,1,1,15.5,N,Q
190,0,3,36,male,0,0,7.8958,N,S
191,1,2,32,female,0,0,13,N,S
192,0,2,19,male,0,0,13,N,S
193,1,3,19,female,1,0,7.8542,N,S
194,1,2,3,male,1,1,26,F,S
195,1,1,44,female,0,0,27.7208,B,C
196,1,1,58,female,0,0,146.5208,B,C
197,0,3,24,male,0,0,7.75,N,Q
198,0,3,42,male,0,1,8.4042,N,S
199,1,3,24,female,0,0,7.75,N,Q
200,0,2,24,female,0,0,13,N,S
201,0,3,28,male,0,0,9.5,N,S
202,0,3,24,male,8,2,69.55,N,S
203,0,3,34,male,0,0,6.4958,N,S
204,0,3,45.5,male,0,0,7.225,N,C
205,1,3,18,male,0,0,8.05,N,S
206,0,3,2,female,0,1,10.4625,G,S
207,0,3,32,male,1,0,15.85,N,S
208,1,3,26,male,0,0,18.7875,N,C
209,1,3,16,female,0,0,7.75,N,Q
210,1,1,40,male,0,0,31,A,C
211,0,3,24,male,0,0,7.05,N,S
212,1,2,35,female,0,0,21,N,S
213,0,3,22,male,0,0,7.25,N,S
214,0,2,30,male,0,0,13,N,S
215,0,3,24,male,1,0,7.75,N,Q
216,1,1,31,female,1,0,113.275,D,C
217,1,3,27,female,0,0,7.925,N,S
218,0,2,42,male,1,0,27,N,S
219,1,1,32,female,0,0,76.2917,D,C
220,0,2,30,male,0,0,10.5,N,S
221,1,3,16,male,0,0,8.05,N,S
222,0,2,27,male,0,0,13,N,S
223,0,3,51,male,0,0,8.05,N,S
224,0,3,24,male,0,0,7.8958,N,S
225,1,1,38,male,1,0,90,C,S
226,0,3,22,male,0,0,9.35,N,S
227,1,2,19,male,0,0,10.5,N,S
228,0,3,20.5,male,0,0,7.25,N,S
229,0,2,18,male,0,0,13,N,S
230,0,3,24,female,3,1,25.4667,N,S
231,1,1,35,female,1,0,83.475,C,S
232,0,3,29,male,0,0,7.775,N,S
233,0,2,59,male,0,0,13.5,N,S
234,1,3,5,female,4,2,31.3875,N,S
235,0,2,24,male,0,0,10.5,N,S
236,0,3,24,female,0,0,7.55,N,S
237,0,2,44,male,1,0,26,N,S
238,1,2,8,female,0,2,26.25,N,S
239,0,2,19,male,0,0,10.5,N,S
240,0,2,33,male,0,0,12.275,N,S
241,0,3,24,female,1,0,14.4542,N,C
242,1,3,24,female,1,0,15.5,N,Q
243,0,2,29,male,0,0,10.5,N,S
244,0,3,22,male,0,0,7.125,N,S
245,0,3,30,male,0,0,7.225,N,C
246,0,1,44,male,2,0,90,C,Q
247,0,3,25,female,0,0,7.775,N,S
248,1,2,24,female,0,2,14.5,N,S
249,1,1,37,male,1,1,52.5542,D,S
250,0,2,54,male,1,0,26,N,S
251,0,3,24,male,0,0,7.25,N,S
252,0,3,29,female,1,1,10.4625,G,S
253,0,1,62,male,0,0,26.55,C,S
254,0,3,30,male,1,0,16.1,N,S
255,0,3,41,female,0,2,20.2125,N,S
256,1,3,29,female,0,2,15.2458,N,C
257,1,1,24,female,0,0,79.2,N,C
258,1,1,30,female,0,0,86.5,B,S
259,1,1,35,female,0,0,512.3292,N,C
260,1,2,50,female,0,1,26,N,S
261,0,3,24,male,0,0,7.75,N,Q
262,1,3,3,male,4,2,31.3875,N,S
263,0,1,52,male,1,1,79.65,E,S
264,0,1,40,male,0,0,0,B,S
265,0,3,24,female,0,0,7.75,N,Q
266,0,2,36,male,0,0,10.5,N,S
267,0,3,16,male,4,1,39.6875,N,S
268,1,3,25,male,1,0,7.775,N,S
269,1,1,58,female,0,1,153.4625,C,S
270,1,1,35,female,0,0,135.6333,C,S
271,0,1,24,male,0,0,31,N,S
272,1,3,25,male,0,0,0,N,S
273,1,2,41,female,0,1,19.5,N,S
274,0,1,37,male,0,1,29.7,C,C
275,1,3,24,female,0,0,7.75,N,Q
276,1,1,63,female,1,0,77.9583,D,S
277,0,3,45,female,0,0,7.75,N,S
278,0,2,24,male,0,0,0,N,S
279,0,3,7,male,4,1,29.125,N,Q
280,1,3,35,female,1,1,20.25,N,S
281,0,3,65,male,0,0,7.75,N,Q
282,0,3,28,male,0,0,7.8542,N,S
283,0,3,16,male,0,0,9.5,N,S
284,1,3,19,male,0,0,8.05,N,S
285,0,1,24,male,0,0,26,A,S
286,0,3,33,male,0,0,8.6625,N,C
287,1,3,30,male,0,0,9.5,N,S
288,0,3,22,male,0,0,7.8958,N,S
289,1,2,42,male,0,0,13,N,S
290,1,3,22,female,0,0,7.75,N,Q
291,1,1,26,female,0,0,78.85,N,S
292,1,1,19,female,1,0,91.0792,B,C
293,0,2,36,male,0,0,12.875,D,C
294,0,3,24,female,0,0,8.85,N,S
295,0,3,24,male,0,0,7.8958,N,S
296,0,1,24,male,0,0,27.7208,N,C
297,0,3,23.5,male,0,0,7.2292,N,C
298,0,1,2,female,1,2,151.55,C,S
299,1,1,24,male,0,0,30.5,C,S
300,1,1,50,female,0,1,247.5208,B,C
301,1,3,24,female,0,0,7.75,N,Q
302,1,3,24,male,2,0,23.25,N,Q
303,0,3,19,male,0,0,0,N,S
304,1,2,24,female,0,0,12.35,E,Q
305,0,3,24,male,0,0,8.05,N,S
306,1,1,0.92,male,1,2,151.55,C,S
307,1,1,24,female,0,0,110.8833,N,C
308,1,1,17,female,1,0,108.9,C,C
309,0,2,30,male,1,0,24,N,C
310,1,1,30,female,0,0,56.9292,E,C
311,1,1,24,female,0,0,83.1583,C,C
312,1,1,18,female,2,2,262.375,B,C
313,0,2,26,female,1,1,26,N,S
314,0,3,28,male,0,0,7.8958,N,S
315,0,2,43,male,1,1,26.25,N,S
316,1,3,26,female,0,0,7.8542,N,S
317,1,2,24,female,1,0,26,N,S
318,0,2,54,male,0,0,14,N,S
319,1,1,31,female,0,2,164.8667,C,S
320,1,1,40,female,1,1,134.5,E,C
321,0,3,22,male,0,0,7.25,N,S
322,0,3,27,male,0,0,7.8958,N,S
323,1,2,30,female,0,0,12.35,N,Q
324,1,2,22,female,1,1,29,N,S
325,0,3,24,male,8,2,69.55,N,S
326,1,1,36,female,0,0,135.6333,C,C
327,0,3,61,male,0,0,6.2375,N,S
328,1,2,36,female,0,0,13,D,S
329,1,3,31,female,1,1,20.525,N,S
330,1,1,16,female,0,1,57.9792,B,C
331,1,3,24,female,2,0,23.25,N,Q
332,0,1,45.5,male,0,0,28.5,C,S
333,0,1,38,male,0,1,153.4625,C,S
334,0,3,16,male,2,0,18,N,S
335,1,1,24,female,1,0,133.65,N,S
336,0,3,24,male,0,0,7.8958,N,S
337,0,1,29,male,1,0,66.6,C,S
338,1,1,41,female,0,0,134.5,E,C
339,1,3,45,male,0,0,8.05,N,S
340,0,1,45,male,0,0,35.5,T,S
341,1,2,2,male,1,1,26,F,S
342,1,1,24,female,3,2,263,C,S
343,0,2,28,male,0,0,13,N,S
344,0,2,25,male,0,0,13,N,S
345,0,2,36,male,0,0,13,N,S
346,1,2,24,female,0,0,13,F,S
347,1,2,40,female,0,0,13,N,S
348,1,3,24,female,1,0,16.1,N,S
349,1,3,3,male,1,1,15.9,N,S
350,0,3,42,male,0,0,8.6625,N,S
351,0,3,23,male,0,0,9.225,N,S
352,0,1,24,male,0,0,35,C,S
353,0,3,15,male,1,1,7.2292,N,C
354,0,3,25,male,1,0,17.8,N,S
355,0,3,24,male,0,0,7.225,N,C
356,0,3,28,male,0,0,9.5,N,S
357,1,1,22,female,0,1,55,E,S
358,0,2,38,female,0,0,13,N,S
359,1,3,24,female,0,0,7.8792,N,Q
360,1,3,24,female,0,0,7.8792,N,Q
361,0,3,40,male,1,4,27.9,N,S
362,0,2,29,male,1,0,27.7208,N,C
363,0,3,45,female,0,1,14.4542,N,C
364,0,3,35,male,0,0,7.05,N,S
365,0,3,24,male,1,0,15.5,N,Q
366,0,3,30,male,0,0,7.25,N,S
367,1,1,60,female,1,0,75.25,D,C
368,1,3,24,female,0,0,7.2292,N,C
369,1,3,24,female,0,0,7.75,N,Q
370,1,1,24,female,0,0,69.3,B,C
371,1,1,25,male,1,0,55.4417,E,C
372,0,3,18,male,1,0,6.4958,N,S
373,0,3,19,male,0,0,8.05,N,S
374,0,1,22,male,0,0,135.6333,N,C
375,0,3,3,female,3,1,21.075,N,S
376,1,1,24,female,1,0,82.1708,N,C
377,1,3,22,female,0,0,7.25,N,S
378,0,1,27,male,0,2,211.5,C,C
379,0,3,20,male,0,0,4.0125,N,C
380,0,3,19,male,0,0,7.775,N,S
381,1,1,42,female,0,0,227.525,N,C
382,1,3,1,female,0,2,15.7417,N,C
383,0,3,32,male,0,0,7.925,N,S
384,1,1,35,female,1,0,52,N,S
385,0,3,24,male,0,0,7.8958,N,S
386,0,2,18,male,0,0,73.5,N,S
387,0,3,1,male,5,2,46.9,N,S
388,1,2,36,female,0,0,13,N,S
389,0,3,24,male,0,0,7.7292,N,Q
390,1,2,17,female,0,0,12,N,C
391,1,1,36,male,1,2,120,B,S
392,1,3,21,male,0,0,7.7958,N,S
393,0,3,28,male,2,0,7.925,N,S
394,1,1,23,female,1,0,113.275,D,C
395,1,3,24,female,0,2,16.7,G,S
396,0,3,22,male,0,0,7.7958,N,S
397,0,3,31,female,0,0,7.8542,N,S
398,0,2,46,male,0,0,26,N,S
399,0,2,23,male,0,0,10.5,N,S
400,1,2,28,female,0,0,12.65,N,S
401,1,3,39,male,0,0,7.925,N,S
402,0,3,26,male,0,0,8.05,N,S
403,0,3,21,female,1,0,9.825,N,S
404,0,3,28,male,1,0,15.85,N,S
405,0,3,20,female,0,0,8.6625,N,S
406,0,2,34,male,1,0,21,N,S
407,0,3,51,male,0,0,7.75,N,S
408,1,2,3,male,1,1,18.75,N,S
409,0,3,21,male,0,0,7.775,N,S
410,0,3,24,female,3,1,25.4667,N,S
411,0,3,24,male,0,0,7.8958,N,S
412,0,3,24,male,0,0,6.8583,N,Q
413,1,1,33,female,1,0,90,C,Q
414,0,2,24,male,0,0,0,N,S
415,1,3,44,male,0,0,7.925,N,S
416,0,3,24,female,0,0,8.05,N,S
417,1,2,34,female,1,1,32.5,N,S
418,1,2,18,female,0,2,13,N,S
419,0,2,30,male,0,0,13,N,S
420,0,3,10,female,0,2,24.15,N,S
421,0,3,24,male,0,0,7.8958,N,C
422,0,3,21,male,0,0,7.7333,N,Q
423,0,3,29,male,0,0,7.875,N,S
424,0,3,28,female,1,1,14.4,N,S
425,0,3,18,male,1,1,20.2125,N,S
426,0,3,24,male,0,0,7.25,N,S
427,1,2,28,female,1,0,26,N,S
428,1,2,19,female,0,0,26,N,S
429,0,3,24,male,0,0,7.75,N,Q
430,1,3,32,male,0,0,8.05,E,S
431,1,1,28,male,0,0,26.55,C,S
432,1,3,24,female,1,0,16.1,N,S
433,1,2,42,female,1,0,26,N,S
434,0,3,17,male,0,0,7.125,N,S
435,0,1,50,male,1,0,55.9,E,S
436,1,1,14,female,1,2,120,B,S
437,0,3,21,female,2,2,34.375,N,S
438,1,2,24,female,2,3,18.75,N,S
439,0,1,64,male,1,4,263,C,S
440,0,2,31,male,0,0,10.5,N,S
441,1,2,45,female,1,1,26.25,N,S
442,0,3,20,male,0,0,9.5,N,S
443,0,3,25,male,1,0,7.775,N,S
444,1,2,28,female,0,0,13,N,S
445,1,3,24,male,0,0,8.1125,N,S
446,1,1,4,male,0,2,81.8583,A,S
447,1,2,13,female,0,1,19.5,N,S
448,1,1,34,male,0,0,26.55,N,S
449,1,3,5,female,2,1,19.2583,N,C
450,1,1,52,male,0,0,30.5,C,S
451,0,2,36,male,1,2,27.75,N,S
452,0,3,24,male,1,0,19.9667,N,S
453,0,1,30,male,0,0,27.75,C,C
454,1,1,49,male,1,0,89.1042,C,C
455,0,3,24,male,0,0,8.05,N,S
456,1,3,29,male,0,0,7.8958,N,C
457,0,1,65,male,0,0,26.55,E,S
458,1,1,24,female,1,0,51.8625,D,S
459,1,2,50,female,0,0,10.5,N,S
460,0,3,24,male,0,0,7.75,N,Q
461,1,1,48,male,0,0,26.55,E,S
462,0,3,34,male,0,0,8.05,N,S
463,0,1,47,male,0,0,38.5,E,S
464,0,2,48,male,0,0,13,N,S
465,0,3,24,male,0,0,8.05,N,S
466,0,3,38,male,0,0,7.05,N,S
467,0,2,24,male,0,0,0,N,S
468,0,1,56,male,0,0,26.55,N,S
469,0,3,24,male,0,0,7.725,N,Q
470,1,3,0.75,female,2,1,19.2583,N,C
471,0,3,24,male,0,0,7.25,N,S
472,0,3,38,male,0,0,8.6625,N,S
473,1,2,33,female,1,2,27.75,N,S
474,1,2,23,female,0,0,13.7917,D,C
475,0,3,22,female,0,0,9.8375,N,S
476,0,1,24,male,0,0,52,A,S
477,0,2,34,male,1,0,21,N,S
478,0,3,29,male,1,0,7.0458,N,S
479,0,3,22,male,0,0,7.5208,N,S
480,1,3,2,female,0,1,12.2875,N,S
481,0,3,9,male,5,2,46.9,N,S
482,0,2,24,male,0,0,0,N,S
483,0,3,50,male,0,0,8.05,N,S
484,1,3,63,female,0,0,9.5875,N,S
485,1,1,25,male,1,0,91.0792,B,C
486,0,3,24,female,3,1,25.4667,N,S
487,1,1,35,female,1,0,90,C,S
488,0,1,58,male,0,0,29.7,B,C
489,0,3,30,male,0,0,8.05,N,S
490,1,3,9,male,1,1,15.9,N,S
491,0,3,24,male,1,0,19.9667,N,S
492,0,3,21,male,0,0,7.25,N,S
493,0,1,55,male,0,0,30.5,C,S
494,0,1,71,male,0,0,49.5042,N,C
495,0,3,21,male,0,0,8.05,N,S
496,0,3,24,male,0,0,14.4583,N,C
497,1,1,54,female,1,0,78.2667,D,C
498,0,3,24,male,0,0,15.1,N,S
499,0,1,25,female,1,2,151.55,C,S
500,0,3,24,male,0,0,7.7958,N,S
501,0,3,17,male,0,0,8.6625,N,S
502,0,3,21,female,0,0,7.75,N,Q
503,0,3,24,female,0,0,7.6292,N,Q
504,0,3,37,female,0,0,9.5875,N,S
505,1,1,16,female,0,0,86.5,B,S
506,0,1,18,male,1,0,108.9,C,C
507,1,2,33,female,0,2,26,N,S
508,1,1,24,male,0,0,26.55,N,S
509,0,3,28,male,0,0,22.525,N,S
510,1,3,26,male,0,0,56.4958,N,S
511,1,3,29,male,0,0,7.75,N,Q
512,0,3,24,male,0,0,8.05,N,S
513,1,1,36,male,0,0,26.2875,E,S
514,1,1,54,female,1,0,59.4,N,C
515,0,3,24,male,0,0,7.4958,N,S
516,0,1,47,male,0,0,34.0208,D,S
517,1,2,34,female,0,0,10.5,F,S
518,0,3,24,male,0,0,24.15,N,Q
519,1,2,36,female,1,0,26,N,S
520,0,3,32,male,0,0,7.8958,N,S
521,1,1,30,female,0,0,93.5,B,S
522,0,3,22,male,0,0,7.8958,N,S
523,0,3,24,male,0,0,7.225,N,C
524,1,1,44,female,0,1,57.9792,B,C
525,0,3,24,male,0,0,7.2292,N,C
526,0,3,40.5,male,0,0,7.75,N,Q
527,1,2,50,female,0,0,10.5,N,S
528,0,1,24,male,0,0,221.7792,C,S
529,0,3,39,male,0,0,7.925,N,S
530,0,2,23,male,2,1,11.5,N,S
531,1,2,2,female,1,1,26,N,S
532,0,3,24,male,0,0,7.2292,N,C
533,0,3,17,male,1,1,7.2292,N,C
534,1,3,24,female,0,2,22.3583,N,C
535,0,3,30,female,0,0,8.6625,N,S
536,1,2,7,female,0,2,26.25,N,S
537,0,1,45,male,0,0,26.55,B,S
538,1,1,30,female,0,0,106.425,N,C
539,0,3,24,male,0,0,14.5,N,S
540,1,1,22,female,0,2,49.5,B,C
541,1,1,36,female,0,2,71,B,S
542,0,3,9,female,4,2,31.275,N,S
543,0,3,11,female,4,2,31.275,N,S
544,1,2,32,male,1,0,26,N,S
545,0,1,50,male,1,0,106.425,C,C
546,0,1,64,male,0,0,26,N,S
547,1,2,19,female,1,0,26,N,S
548,1,2,24,male,0,0,13.8625,N,C
549,0,3,33,male,1,1,20.525,N,S
550,1,2,8,male,1,1,36.75,N,S
551,1,1,17,male,0,2,110.8833,C,C
552,0,2,27,male,0,0,26,N,S
553,0,3,24,male,0,0,7.8292,N,Q
554,1,3,22,male,0,0,7.225,N,C
555,1,3,22,female,0,0,7.775,N,S
556,0,1,62,male,0,0,26.55,N,S
557,1,1,48,female,1,0,39.6,A,C
558,0,1,24,male,0,0,227.525,N,C
559,1,1,39,female,1,1,79.65,E,S
560,1,3,36,female,1,0,17.4,N,S
561,0,3,24,male,0,0,7.75,N,Q
562,0,3,40,male,0,0,7.8958,N,S
563,0,2,28,male,0,0,13.5,N,S
564,0,3,24,male,0,0,8.05,N,S
565,0,3,24,female,0,0,8.05,N,S
566,0,3,24,male,2,0,24.15,N,S
567,0,3,19,male,0,0,7.8958,N,S
568,0,3,29,female,0,4,21.075,N,S
569,0,3,24,male,0,0,7.2292,N,C
570,1,3,32,male,0,0,7.8542,N,S
571,1,2,62,male,0,0,10.5,N,S
572,1,1,53,female,2,0,51.4792,C,S
573,1,1,36,male,0,0,26.3875,E,S
574,1,3,24,female,0,0,7.75,N,Q
575,0,3,16,male,0,0,8.05,N,S
576,0,3,19,male,0,0,14.5,N,S
577,1,2,34,female,0,0,13,N,S
578,1,1,39,female,1,0,55.9,E,S
579,0,3,24,female,1,0,14.4583,N,C
580,1,3,32,male,0,0,7.925,N,S
581,1,2,25,female,1,1,30,N,S
582,1,1,39,female,1,1,110.8833,C,C
583,0,2,54,male,0,0,26,N,S
584,0,1,36,male,0,0,40.125,A,C
585,0,3,24,male,0,0,8.7125,N,C
586,1,1,18,female,0,2,79.65,E,S
587,0,2,47,male,0,0,15,N,S
588,1,1,60,male,1,1,79.2,B,C
589,0,3,22,male,0,0,8.05,N,S
590,0,3,24,male,0,0,8.05,N,S
591,0,3,35,male,0,0,7.125,N,S
592,1,1,52,female,1,0,78.2667,D,C
593,0,3,47,male,0,0,7.25,N,S
594,0,3,24,female,0,2,7.75,N,Q
595,0,2,37,male,1,0,26,N,S
596,0,3,36,male,1,1,24.15,N,S
597,1,2,24,female,0,0,33,N,S
598,0,3,49,male,0,0,0,N,S
599,0,3,24,male,0,0,7.225,N,C
600,1,1,49,male,1,0,56.9292,A,C
601,1,2,24,female,2,1,27,N,S
602,0,3,24,male,0,0,7.8958,N,S
603,0,1,24,male,0,0,42.4,N,S
604,0,3,44,male,0,0,8.05,N,S
605,1,1,35,male,0,0,26.55,N,C
606,0,3,36,male,1,0,15.55,N,S
607,0,3,30,male,0,0,7.8958,N,S
608,1,1,27,male,0,0,30.5,N,S
609,1,2,22,female,1,2,41.5792,N,C
610,1,1,40,female,0,0,153.4625,C,S
611,0,3,39,female,1,5,31.275,N,S
612,0,3,24,male,0,0,7.05,N,S
613,1,3,24,female,1,0,15.5,N,Q
614,0,3,24,male,0,0,7.75,N,Q
615,0,3,35,male,0,0,8.05,N,S
616,1,2,24,female,1,2,65,N,S
617,0,3,34,male,1,1,14.4,N,S
618,0,3,26,female,1,0,16.1,N,S
619,1,2,4,female,2,1,39,F,S
620,0,2,26,male,0,0,10.5,N,S
621,0,3,27,male,1,0,14.4542,N,C
622,1,1,42,male,1,0,52.5542,D,S
623,1,3,20,male,1,1,15.7417,N,C
624,0,3,21,male,0,0,7.8542,N,S
625,0,3,21,male,0,0,16.1,N,S
626,0,1,61,male,0,0,32.3208,D,S
627,0,2,57,male,0,0,12.35,N,Q
628,1,1,21,female,0,0,77.9583,D,S
